證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
3308,70582,50,956819,13.7,14.25,13.5,13.5,0.2,13.4,3,13.5,1,0.0
3311,32348,33,1058484,33.0,33.0,32.55,32.95,0.35,32.65,1,32.85,1,26.15
3312,427564,332,7714424,18.1,18.25,17.9,17.95,0.2,17.95,6,18.0,18,4.77
3321,937951,516,11012743,11.9,12.35,11.1,11.7,0.3,11.6,10,11.7,7,0.0
3338,236775,222,9789843,41.0,41.7,40.85,41.5,0.4,41.45,2,41.5,5,15.31
3346,202904,164,6204553,31.25,31.35,30.1,30.45,0.7,30.4,4,30.45,4,44.13
3356,364165,243,10472543,29.35,29.35,28.45,28.5,0.7,28.5,5,28.65,4,13.97
3376,424385,320,33953902,78.5,81.2,78.4,80.7,1.3,80.6,2,80.7,1,12.91
3380,16455315,8985,506732448,30.8,32.0,29.55,30.05,0.65,30.05,4,30.1,23,28.08
3383,36036,23,230746,6.66,6.66,6.31,6.31,0.13,6.25,1,6.35,1,0.0
3406,3217301,3277,1233794373,386.0,392.5,378.0,378.0,7.5,378.0,89,378.5,16,18.17
3413,160285,202,30385660,191.0,191.0,188.0,189.0,2.0,188.5,4,189.0,1,9.72
3416,33000,17,2495000,75.7,75.7,75.3,75.7,0.0,75.6,5,75.7,83,15.02
3419,566066,380,9237588,16.45,16.7,16.1,16.25,0.2,16.25,27,16.3,5,0.0
3432,3227828,705,51671887,15.6,16.05,15.55,16.05,1.45,16.05,1700,,0,9.79
3437,186938,177,3585484,19.15,19.45,19.0,19.05,0.35,19.05,3,19.1,1,26.46
3443,4726668,4268,2398655818,511.0,516.0,498.5,503.0,8.0,503.0,33,504.0,2,30.12
3450,111161,102,4596802,41.3,41.75,41.2,41.25,0.05,41.15,3,41.25,1,17.55
3454,76412,64,6064065,79.4,79.9,79.0,79.7,0.1,79.4,1,79.7,1,24.08
3481,59980443,10374,635157829,10.55,10.8,10.45,10.5,0.1,10.5,748,10.55,868,2.32
3494,6613349,2924,80833763,12.4,12.8,11.8,12.15,0.35,12.15,76,12.25,9,0.0
3501,50735,42,2168523,42.95,42.95,42.55,42.85,0.2,42.8,1,42.9,20,13.31
3504,26538633,18601,2591068496,94.0,102.0,93.8,96.5,3.5,96.5,41,96.6,2,94.61
3515,367739,313,35199340,95.8,97.0,94.2,95.5,0.3,95.4,2,95.5,2,4.7
3518,197000,97,3701150,18.85,19.1,18.65,18.9,0.1,18.9,1,18.95,4,27.39
3528,16031,18,780576,49.0,49.0,48.5,48.9,0.2,48.65,1,48.9,1,10.63
3530,343229,441,30503998,88.1,90.7,88.1,88.1,2.1,88.1,5,88.4,4,9.34
3532,2312698,2293,380988308,165.0,167.0,163.0,165.0,2.0,165.0,15,165.5,9,30.67
3533,532217,606,338591314,636.0,644.0,628.0,635.0,0.0,635.0,14,637.0,1,16.75
3535,4752821,2356,120971746,26.1,26.3,25.0,25.45,0.65,25.45,18,25.5,17,15.81
3536,39324,16,156882,3.96,4.0,3.93,3.93,0.03,3.93,5,3.99,2,0.0
3543,33238,33,624320,19.45,19.45,18.6,18.65,0.1,18.65,1,18.7,1,0.0
3545,5438947,4147,368120882,67.0,68.6,67.0,67.7,1.1,67.7,62,67.8,34,2.44
3550,37028,42,536313,14.55,14.55,14.45,14.45,0.05,14.45,2,14.5,9,41.29
3557,61814,59,4262912,69.0,69.4,68.0,69.4,0.7,68.7,2,69.4,3,9.43
3563,30036,35,4165540,138.5,139.0,138.0,138.5,1.0,138.5,1,139.0,2,7.8
3576,5658634,2038,117114008,20.65,20.85,20.6,20.65,0.15,20.65,4,20.7,107,0.0
3583,277066,295,19326597,70.5,71.0,68.9,69.5,0.9,69.5,3,69.6,1,10.73
3588,893683,466,56534376,65.5,66.8,64.6,64.8,1.0,64.7,4,64.8,15,8.78
3591,4683362,3017,82703934,16.8,18.35,16.8,17.3,0.3,17.3,9,17.35,19,21.1
3592,654415,859,169097125,259.0,265.0,255.0,256.0,6.0,256.0,6,256.5,4,4.53
3593,49084,61,671659,14.0,14.0,13.5,13.9,0.05,13.85,1,13.9,2,0.0
3596,4292729,2867,533953077,121.5,126.0,121.0,124.0,1.5,124.0,43,124.5,10,15.78
3605,284219,237,10691713,37.85,38.1,37.1,37.15,0.8,37.15,4,37.25,5,9.55
3607,284114,120,3561892,12.5,12.6,12.45,12.6,0.1,12.55,1,12.6,18,0.0
3617,268305,208,20808135,76.1,78.1,76.0,78.0,1.8,77.8,4,78.0,13,0.0
3622,390055,223,11751297,30.75,30.75,29.8,30.0,0.95,30.0,4,30.05,7,15.46
3645,1467626,906,56214164,38.7,39.15,37.9,38.15,0.65,38.15,4,38.2,1,15.02
3653,1958967,1825,715407933,360.0,374.5,354.0,367.0,4.5,366.5,2,367.0,1,31.15
3661,6168331,5812,4142577792,664.0,685.0,655.0,678.0,9.0,677.0,1,678.0,4,31.16
3665,1319520,1196,401583863,305.5,307.5,301.5,302.5,3.5,302.5,68,303.0,1,20.21
3669,102119,82,4237957,42.0,42.1,41.1,41.2,0.45,41.15,2,41.2,1,7.22
3673,456381,307,15466046,34.0,34.25,33.75,33.75,0.35,33.75,13,33.8,13,14.36
3679,15288,18,1110521,73.3,73.3,72.3,72.8,0.7,72.5,3,72.8,2,7.1
3682,3787146,844,25754542,6.8,6.85,6.75,6.79,0.02,6.79,3,6.8,15,0.0
3686,191431,156,2291723,12.1,12.15,11.9,11.9,0.15,11.85,9,11.9,9,0.0
3694,79240,69,1463314,18.85,18.9,18.1,18.15,0.55,18.15,5,18.3,3,9.03
3701,1142511,846,48941574,42.05,43.85,41.8,42.0,0.5,42.0,7,42.3,7,28.77
3702,4323228,2151,215715271,50.2,50.2,49.55,50.1,0.1,49.9,17,50.1,78,7.52
3702A,107097,50,5153356,47.95,48.15,47.95,48.15,0.2,48.1,7,48.15,22,0.0
3703,8744343,4050,266510276,29.15,31.5,29.15,29.95,1.05,29.95,39,30.0,15,7.7
3704,3731675,2173,116090916,31.25,31.55,30.55,30.7,0.35,30.7,6,30.75,6,10.34
3705,84361,81,3404817,40.45,40.45,40.25,40.3,0.45,40.3,14,40.4,5,13.48
3706,1092790,482,30457902,27.95,28.05,27.7,27.85,0.1,27.85,11,27.9,21,2.82
3708,1931855,1287,199722167,105.0,105.0,102.0,102.5,2.0,102.5,14,103.0,6,50.25
3711,9529216,6312,810975429,84.4,86.0,83.6,86.0,1.5,85.8,4,86.0,4,5.4
3712,675708,392,19393473,29.0,29.15,28.45,28.45,0.45,28.45,9,28.55,29,14.9
3714,2872464,2046,135451824,47.5,47.7,46.8,46.95,0.55,46.95,18,47.0,25,10.01
4104,189954,237,12133023,64.5,64.5,63.7,63.7,0.6,63.7,18,63.8,3,13.94
4106,373419,358,9010335,24.5,24.5,23.9,24.0,0.4,24.0,1,24.1,21,23.3
4108,254577,305,4630757,18.4,18.65,17.9,18.15,0.15,18.1,1,18.15,3,0.0
4119,128236,156,10278738,80.1,80.7,79.8,80.0,0.6,80.0,1,80.1,5,137.93
4133,1125039,1072,39632883,35.05,35.8,34.8,35.0,0.25,34.95,17,35.0,5,59.32
